007 - 00 James Bond Story, The;James Bond
007 - 00 Never Say Never Again (Sag niemals nie);James Bond
007 - 01 Dr. No;James Bond
007 - 02 From Russia With Love (LiebesgrÅsse aus);James Bond
007 - 03 Goldfinger;James Bond
007 - 04 Thunderball (Feuerball);James Bond
007 - 05 You Only Live Twice (Man lebt nur zweimal);James Bond
007 - 06 On Her Majesty`s Secret Service;James Bond
007 - 07 Diamonds Are Forever (Diamantenfieber);James Bond
007 - 08 Live and Let Die (Leben und sterben lassen);James Bond
007 - 09 Man with the Golden Gun, The ;James Bond
007 - 10 Spy Who Loved Me, The;James Bond
007 - 11 Moonraker (Moonraker - Streng geheim);James Bond
007 - 12 For Your Eyes Only (In tîdlicher Mission);James Bond
007 - 13 Octopussy;James Bond
007 - 14 View to a Kill, A (Im Angesicht des Todes);James Bond
007 - 15 Living Daylights, The (Der Hauch des Todes);James Bond
007 - 16 Licence to Kill (Lizenz zum Tîten);James Bond
007 - 17 GoldenEye;James Bond
007 - 18 Tomorrow Never Dies (Der Morgen stirbt nie);James Bond
007 - 19 World Is Not Enough, The;James Bond
007 - 20 Die Another Day (Stirb an einem anderen Tag);James Bond
007 - 21 Casino Royale;James Bond
007 - 22 Quantum of Solace (Ein Quantum Trost);James Bond
007 - 23 Skyfall;James Bond
10 Dinge, die ich an Dir hasse (10 Things ?);Teenagers
10.000 BC;Action
101 Reykjavik;Komîdie
13te Krieger, Der (The 13th Warrior);Historical
1408;Horror
2012;Action
25 Stunden;Crime
27 Dresses;Komîdie
300;Historical
4400 - die RÅckkehrer (Season 1);TV-Serie
4400 - die RÅckkehrer (Season 2);TV-Serie
4400 - die RÅckkehrer (Season 3);TV-Serie
6 auf einen Streich: MÑrchenbox 1;TV-Serie
6 auf einen Streich: MÑrchenbox 2;TV-Serie
6 auf einen Streich: MÑrchenbox 3;TV-Serie
7 Zwerge ? MÑnner allein im Wald;Komîdie
A;Genre
Ab durch die Hecke (Over the Hedge);Animation
Abbitte (Atonement);Drama
About a Boy;Komîdie
Aeon Flux;Sci-Fi
Akte Jane (G.I. Jane);Krieg
Aladdin;Animation
Alatriste;Action
Alexander;Historical
Alle Lieben MICKY;Animation
Alles ist erleuchtet (Everything Is Illuminated);Drama
Along Came Polly (? und dann kam Polly);Komîdie
American Princess;Teenagers
American, The;Crime
Amistad;Drama
Anastasia;Animation
Anna (TV Serie);Teenagers
Anna Karenina;Drama
Annie;Teenagers
Apocalypse Now;Krieg
Argo;Drama
Arielle, die Meerjungfrau;Animation
Arn - Der Kreuzritter;Historical
Art of War;Action
Auf der Suche nach dem Beerental;Animation
Aus nÑchster NÑhe (Up Close & Personal);Drama
Australia;Drama
Avatar - Aufbruch nach Pandora ;Sci-Fi
B;Genre
Baader Meinhof Komplex, Der;Crime
Babel;Drama
Bambi;Animation
Band of Brothers (Wir waren wie BrÅder);Krieg
Bandidas;Komîdie
BÑrenbrÅder (Brother Bear);Animation
Barfuss;Deutscher Film
Batman - The Dark Knight;Fantasy
Batman Begins;Fantasy
Battleship;Sci-Fi
Beautiful Mind;Drama
Before Sunrise;Liebe
Benny Hill - The Best of Benny Hill ;Komîdie
Bernard & Bianca;Animation
Besessen;Liebe
Bewegte Mann, Der;Deutscher Film
Biene Maja - Teil 1;Animation
Big Fish;Fantasy
Black Hawk Down;Krieg
Black Swan;Drama
Blood Diamond;Drama
Blow;Crime
Bodyguard;Liebe
Bone Collector;Crime
Bones: Die KnochenjÑgerin (Season 1);TV-Serie
Bones: Die KnochenjÑgerin (Season 2);TV-Serie
Bones: Die KnochenjÑgerin (Season 3);TV-Serie
Bones: Die KnochenjÑgerin (Season 4);TV-Serie
Bones: Die KnochenjÑgerin (Season 5);TV-Serie
Bones: Die KnochenjÑgerin (Season 6);TV-Serie
Bones: Die KnochenjÑgerin (Season 7);TV-Serie
Book of Eli, The;Sci-Fi
Born2Die (Cradle 2 the Grave);Action
Bounce;Liebe
Bourne Identity, The;Action
Bourne Supremacy, The;Action
Bourne Ultimatum, The;Action
Bowling for Columbine;Doku
Braut des Prinzen, Die;Fantasy
Bridget Jones: The Edge of Reason;Komîdie
Bridget Jones's Diary;Komîdie
Brothers Grimm, The;Fantasy
Bube, Dame, Kînig, Gras (Lock, Stock, and Two Smoking Barrels);Komîdie
Bus(c)h Piloten;Doku
Butterfly Effect 1, The;Horror
Butterfly Effect 2, The;Horror
C;Genre
Captain Corelli's Mandolin;Historical
Cargo;Schweizer Film
Carolina Moon (Lilien im Sommerwind);Drama
Cars;Animation
Cars 2;Animation
Casablanca;Drama
Casanova;Historical
Casanova;Komîdie
Cast Away;Drama
Catch Me if You Can;Komîdie
Catwoman;Fantasy
Changing-Up, The (Ausgewechselt);Komîdie
Chaos;Action
Charlie Wilson's War;Crime
Che: Part One;Drama
Che: Part Two;Drama
Chef zum Verlieben, Ein (Two weeks notice);Liebe
Children of Men, The;Sci-Fi
Chip & Chap - Die Ritter des Rechts (Vol. 1);Animation
Chliine IisbÑr - Em Nanouk sini Rettig;Animation
Chocolat;Liebe
Cinderella;Animation
City of Angels (Stadt der Engel);Drama
City of God;Drama
Cloverfield;Sci-Fi
Coco, der neugierige Affe;Animation
Conspiracy.com;Crime
Constantine;Fantasy
Cool Runnings;Komîdie
Cowboys and Aliens;Sci-Fi
Coyote Ugly;Liebe
Cube;Horror
D;Genre
D-Day 6.6.44;Krieg
Da Vinci Code, The;Action
Darf ich Bitten? (Shall We Dance?);Komîdie
Dante's Peak;Action
Daredevil;Fantasy
Dark Water (Dunkle Wasser);Horror
Dark Angel - Season One;TV-Serie
Dark Angel - Season Two;TV-Serie
DÑumeline;Animation
Day After Tomorrow;Action
Dead Man Walking;Drama
Death Proof;Action
DÇjÖ Vu;Action
Departed, The;Drama
Deutschmeister, Die;Heimatfilm
Dirty Dancing I;Liebe
Dirty Dancing II;Liebe
District 9;Sci-Fi
Dogma;Komîdie
Django Unchained;Drama
Dodgeball;Komîdie
Dolmetscherin, Die (The Interpreter);Crime
Dornrîschen;Animation
Down in the Valley;Drama
DrachenzÑhmen (How to Train Your Dragon);Animation
Dreamcatcher;Horror
Drei HaselnÅsse fÅr Aschenbrîdel;Teenagers
DreimÑderlhaus, Das;Heimatfilm
Drive;Action
Dschungelbuch, Das;Animation
Duchess, The (Die Herzogin);Drama
Dumbo;Animation
E;Genre
E-Mail fÅr dich (You've Got Mail);Liebe
Eagle Eye;Action
EisbÑr, Der;Deutscher Film
Eiskînigin, Die (Frozen);Animation
Eisprinzessin, Die;Teenagers
Elizabeth: The Golden Age;Drama
Elizabethtown;Liebe
Ella - Verflixt & Zauberfaft;Teenagers
Elysium;Sci-Fi
Emma;Komîdie
